variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
805593,0,839822,,
816779,0,839822,,
816800,0,842010,,
819257,0,839822,,
819353,0,839822,,
819411,0,839822,,
821775,0,839822,,
828267,1,,,
829671,0,842010,,
830103,0,839822,,
830202,0,839822,,
830543,0,,,
830724,0,842010,,
830741,0,839822,,
831345,0,839822,,
834789,0,,,
835253,1,,,
835434,0,,,
835571,0,,,
835721,0,842010,,
835832,0,842010,,
836330,1,,,
836357,0,839822,,
836368,0,,,
836369,0,839822,,
836459,0,839822,,
836513,1,,,
836533,0,,,
836729,1,,,
836800,1,,,
836801,1,,,
836804,0,,,
836805,0,,,
836806,0,,,
837034,0,842010,,
837125,1,,,
837132,1,,,
837254,0,839822,,
837256,0,842010,,
837273,1,,,
837280,0,842010,,
837289,0,842010,,
837298,0,839822,,
837301,0,842010,,
837303,0,839822,,
837375,0,,,
837513,1,,,
837522,1,,,
837541,1,,,
837642,0,,,
837646,0,839822,,
837691,1,,,
837692,1,,,
837693,1,,,
837695,0,,,
837697,0,,,
837698,0,,,
837764,0,,,
837772,0,,,
837802,0,,,
837815,0,839822,,
837876,1,,,
837877,1,,,
837912,0,842010,,
838351,0,,,
838538,1,,,
838550,0,839822,,
838574,0,839822,,
838601,0,842010,,
838628,0,,,
838645,1,,,
838669,0,,,
838746,0,,,
838790,0,839822,,
838805,0,,,
838829,0,839822,,
839058,0,,,
839094,1,,,
839119,0,839822,,
839156,1,,,
839160,0,,,
839161,0,,,
839163,0,,,
839164,0,,,
839166,0,,,
839218,0,,,
839222,0,,,
839244,0,839822,,
839301,1,,,
839307,1,,,
839310,0,,,
839311,0,,,
839328,0,,,
839377,0,,,
839405,0,842010,,
839412,0,842010,,
839432,0,839822,,
839433,0,839822,,
839807,0,,,
839822,1,,,
839872,0,,,
839881,1,,,
839971,0,,,
839972,0,,,
839988,0,,,
840108,1,,,
840334,0,,,
840356,1,,,
840376,0,,,
840378,0,,,
840659,1,,,
840668,1,,,
840683,1,,,
840710,0,839822,,
840732,0,839822,,
840737,0,,,
840738,0,842010,,
840753,0,,,
840760,0,,,
840793,0,,,
840803,0,839822,281,
840841,0,,,
840865,0,839822,,
840889,0,839822,,
840896,0,839822,,
840901,0,839822,,
840920,0,842010,,
840931,0,842010,,
840933,0,842010,,
840974,0,842010,,
840981,0,839822,,
840982,0,839822,,
840983,0,842010,,
840992,0,842010,,
841004,0,839822,,
841025,0,842010,,
841034,0,839822,,
841062,0,,,
841071,1,,,
841083,0,842010,,
841161,1,,,
841162,1,,,
841165,1,,,
841166,1,,,
841169,0,,,
841170,0,,,
841183,0,,,
841186,0,,,
841187,0,,,
841188,0,,,
841198,0,,,
841200,0,,,
841201,0,,,
841202,0,,,
841205,0,,,
841206,0,,,
841207,0,,,
841226,1,,,
841410,0,,,
841411,0,,,
841458,1,,,
841481,0,842010,,
841500,0,839822,,
841568,1,,,
841587,1,,,
841593,0,,,
841783,1,,,
841784,1,,,
841785,1,,,
841787,1,,,
841791,1,,,
841794,1,,,
841797,0,,,
841798,0,,,
841800,0,,,
841801,0,,,
841810,0,,,
841812,0,,,
841813,0,,,
841825,0,,,
841826,0,,,
841828,0,,,
841830,0,,,
841831,0,,,
841832,0,,,
841833,0,,,
841838,1,,,
841841,0,,,
841853,1,,,
841867,0,,,
841889,0,,,
841900,0,,,
841902,0,,,
841903,0,,,
841904,0,,,
841905,0,,,
841917,1,,,
841918,1,,,
841921,0,,,
841922,0,,,
841923,0,,,
841924,0,,,
841925,0,,,
841926,0,,,
841930,0,,,
841934,0,,,
841956,1,,,
841974,0,842010,,
841988,0,842010,,
841991,0,839822,,
842010,1,,,
842013,0,,,
842018,1,,,
842022,1,,,
842027,1,,,
842028,1,,,
842029,1,,,
842030,1,,,
842031,1,,,
842034,0,842010,,
842056,0,839822,,
842058,0,842010,,
842059,0,839822,,
842060,0,842010,,
842061,0,839822,,
842062,0,842010,,
842069,0,839822,,
842070,0,842010,,
842073,0,842010,,
842081,0,842010,,
842101,1,,,
842102,1,,,
842108,1,,,
842109,1,,,
842116,1,,,
842119,1,,,
842120,1,,,
842122,1,,,
842126,1,,,
842145,1,,,
842147,1,,,
842148,1,,,
842149,1,,,
842154,1,,,
842155,1,,,
842156,1,,,
842157,1,,,
842161,1,,,
842186,1,,,
842188,1,,,
842190,0,,,
842199,0,,,
842200,0,,,
842227,0,839822,,
842241,0,,,
842249,0,839822,,
842261,0,842010,,
842262,0,842010,,
842263,0,,,
842265,0,,,
842266,0,,,
842276,0,839822,,
842280,0,,,
842282,0,,,
842305,0,,,
842316,0,842010,,
842320,0,,,
842325,0,839822,,
842341,0,,,
842342,0,,,
842343,0,,,
842353,0,839822,,
842361,0,,,
842362,0,,,
842365,0,,,
842370,0,,,
842377,0,,,
842386,0,,,
842388,0,,,
842403,0,,,
842419,0,,,
842421,0,,,
842422,0,,,
842423,0,839822,,
842426,0,842010,,
842428,0,,,
842441,0,,,
842446,0,,,
842448,0,842010,,
842449,0,842010,,
842450,0,839822,,
842452,0,,,
842456,0,,,
842457,0,,,
842471,0,,,
842480,0,,,
842509,0,,,
842526,0,,,
842527,0,,,
842529,0,839822,,
842532,0,,,
842539,0,,,
842540,0,,,
842547,0,,,
842548,0,,,
842563,0,,,
842575,0,839822,,
842579,0,,,
842584,0,,,
842587,0,,,
842588,0,,,
842591,0,,,
842619,1,,,
842622,0,,,
842632,1,,,
842633,1,,,
842638,0,842010,,
842640,0,839822,,
842642,0,839822,,
842643,0,842010,,
842646,0,839822,,
842649,0,842010,,
842650,0,842010,,
842656,0,,,
842657,0,842010,,
842665,0,842010,,
842675,0,842010,,
842676,0,839822,,
842677,0,839822,,
842688,0,839822,,
842693,0,842010,,
842694,0,839822,,
842700,1,,,
842701,1,,,
842720,0,,,
842721,0,,,
842722,0,,,
842723,0,,,
842724,0,,,
842725,0,,,
842727,0,,,
842753,1,,,
842758,0,842010,,
842768,0,,,
842769,0,,,
842793,0,,,
842809,0,,,
842810,0,,,
842811,0,,,
842812,0,,,
842813,0,,,
842814,0,,,
842816,0,,,
842859,1,,,
842865,1,,,
842866,1,,,
842872,1,,,
842902,0,,,
842903,0,839822,,
842919,0,842010,,
842936,0,842010,,
842989,1,,,
842990,1,,,
842991,1,,,
842995,0,,,
842996,0,,,
842997,0,,,
842998,0,,,
843000,0,,,
843001,0,,,
843023,1,,,
843039,1,,,
843045,0,,,
843046,0,,,
843047,0,839822,,
843060,0,842010,,
843074,0,,,
843081,0,,,
843082,0,,,
843083,0,,,
843084,0,,,
843085,0,,,
843086,0,839822,,
843087,0,839822,,
843091,0,,,
843097,0,,,
843103,0,839822,,
843110,0,842010,,
843111,0,842010,,
843122,0,,,
843127,0,839822,,
843128,0,,,
843130,0,,,
843133,0,839822,,
843134,0,839822,,
843136,0,842010,,
843137,0,,,
843141,0,839822,,
843148,0,839822,,
843151,0,842010,,
843152,0,,,
843158,1,,,
843160,1,,,
843161,1,,,
843166,0,842010,,
843168,0,,,
843172,0,,,
843173,0,,,
843174,0,,,
843175,0,,,
843176,0,,,
843177,0,839822,,
843180,0,842010,,
843183,0,,,
843209,0,,,
843279,1,,,
843281,1,,,
843282,1,,,
843300,0,,,
843303,0,842010,,
843304,0,839822,,
843329,0,,,
843332,1,,,
843333,1,,,
843338,0,,,
843359,0,,,
843361,1,,,
843362,1,,,
843365,0,,,
843370,1,,,
843371,0,,,
843372,0,,,
843386,1,,,
843387,1,,,
843388,1,,,
843391,1,,,
843396,1,,,
843397,1,,,
843402,1,,,
843405,1,,,
843407,1,,,
843410,1,,,
843413,0,,,
843414,0,,,
843416,0,,,
843417,0,842010,,
843421,0,,,
843424,0,,,
843425,0,839822,,
843426,0,,,
843427,0,,,
843428,0,,,
843430,0,842010,,
843441,0,839822,,
843443,0,842010,,
843449,0,839822,,
843450,0,839822,,
843451,0,842010,,
843452,0,842010,,
843454,0,842010,,
843455,0,842010,,
843456,0,842010,,
843458,0,839822,,
843469,0,,,
843472,0,842010,,
843473,0,,,
843482,0,,,
843483,0,,,
843484,0,,,
843485,0,,,
843487,0,,,
843490,0,,,
843495,0,,,
843509,0,,,
843531,1,,,
843533,0,,,
843601,0,842010,,
843609,0,,,
843610,0,,,
843613,0,,,
843620,0,,,
843631,1,,,
843632,1,,,
843647,0,842010,,
843650,0,842010,,
843651,0,842010,,
843652,0,839822,,
843663,0,839822,,
843664,0,842010,,
843669,0,842010,,
843670,0,842010,,
843680,1,,,
843681,1,,,
843682,1,,,
843686,1,,,
843689,1,,,
843691,1,,,
843692,1,,,
843693,1,,,
843694,1,,,
843695,1,,,
