variant_id,stop_id
805593,1603
805593,1497
816779,1603
816779,1497
816779,2818
816800,2820
819257,1497
819257,2818
819353,1897
819411,1603
819411,1497
821775,1497
821775,2818
828267,148
828267,1705
829671,1629
829671,2034
829671,1417
829671,1533
829671,2817
830103,1603
830103,1497
830103,2818
830543,539
830543,4664
830543,838
830724,1548
830724,1420
830724,1533
831345,1398
834789,3667
834789,3586
835253,5218
835253,5221
835253,5222
835253,4051
835253,4123
835253,3795
835571,4288
835571,4300
835571,4754
835571,4285
835571,4283
835571,1217
835571,357
835571,2527
835832,3902
836330,4898
836330,1547
836330,3524
836330,1541
836357,1541
836368,1497
836368,2818
836368,5310
836368,2031
836368,1495
836369,1497
836369,2818
836369,5310
836369,2031
836459,1603
836459,1497
836459,2818
836459,1534
836459,1418
836459,2031
836513,1629
836513,4896
836513,1420
836513,1581
836513,1502
836513,2355
836533,3421
836533,728
836533,3720
836533,4596
836533,3668
836533,1979
836533,3669
836533,3706
836533,3709
836533,1081
836533,3064
836533,3672
836533,4422
836729,4288
836729,4300
836729,4754
836729,4285
836729,4283
836729,1217
836729,357
836729,2527
836800,480
836800,2035
836800,350
836801,3807
836801,349
836801,1215
836801,481
836804,1215
836804,481
836805,480
836805,2035
836805,350
836805,2010
836806,480
836806,2035
836806,350
837034,1541
837125,1897
837125,2034
837125,1417
837125,1543
837132,2356
837132,5180
837132,1595
837132,2033
837132,1750
837254,1531
837256,1397
837256,3907
837273,1897
837273,2032
837273,4250
837273,2817
837280,1897
837280,2032
837280,4250
837280,2817
837289,1629
837301,1629
837301,2031
837303,1531
837303,1408
837375,526
837375,538
837375,3272
837513,480
837513,347
837513,2666
837513,4401
837513,2010
837522,526
837522,538
837541,3421
837541,2275
837642,3421
837642,2275
837646,5297
837646,1142
837691,3794
837691,4137
837691,5224
837691,5223
837691,5220
837691,5219
837692,575
837692,595
837693,575
837693,555
837693,4892
837695,575
837697,575
837697,1034
837697,1701
837697,595
837698,596
837698,1034
837698,1701
837698,575
837698,555
837698,4892
837764,3895
837772,526
837772,538
837802,2276
837802,3415
837876,576
837876,567
837877,582
837877,568
837877,575
837877,4892
837912,2032
837912,4250
837912,2817
838351,480
838351,347
838351,2666
838351,4401
838351,2010
838351,864
838538,1751
838538,2032
838538,1596
838538,5179
838538,2355
838550,1495
838574,1534
838574,1615
838574,1596
838574,5179
838574,2355
838601,1548
838601,1420
838601,5310
838601,2031
838628,4285
838628,4283
838628,1217
838628,357
838628,2527
838645,3421
838645,728
838645,3244
838645,3720
838645,3656
838645,3669
838645,1702
838645,3706
838645,3709
838645,1081
838645,3672
838645,4422
838669,3421
838669,728
838669,3244
838669,3656
838669,3668
838669,1979
838669,3669
838669,3706
838746,240
838790,864
838805,546
838805,4895
838805,554
838805,2880
838829,4898
838829,1547
838829,3524
839094,553
839094,4894
839094,5123
839094,3517
839094,480
839094,2527
839119,1534
839119,1419
839119,1547
839119,2536
839156,148
839156,1705
839160,148
839160,1705
839161,148
839161,1705
839163,153
839163,148
839163,1705
839164,153
839164,148
839164,1705
839166,1704
839166,149
839166,153
839218,4423
839218,3671
839218,3065
839218,1082
839222,3421
839222,2305
839222,2871
839222,3652
839222,3646
839222,3036
839222,1979
839222,3669
839222,1702
839222,3706
839222,3588
839222,3666
839222,3722
839244,1751
839301,1704
839301,149
839307,1704
839307,149
839310,1704
839310,149
839310,912
839311,148
839311,1705
839328,3641
839328,3027
839328,4659
839328,2254
839377,603
839377,1061
839377,554
839405,1897
839412,1542
839412,1418
839412,2031
839432,2820
839432,1531
839432,1408
839433,3908
839433,1398
839807,4277
839807,1933
839807,4279
839807,2666
839807,4401
839807,3813
839807,335
839822,4492
839822,4745
839822,4429
839822,4479
839822,4633
839822,271
839822,3757
839872,3421
839872,728
839872,3720
839872,4596
839872,3668
839872,1979
839872,3669
839872,3706
839881,4570
839881,5296
839971,539
839971,527
839972,3272
839972,539
839972,527
839988,403
839988,3256
840108,1398
840108,3522
840108,1418
840108,2033
840108,1628
840334,3421
840334,2305
840334,2871
840334,3652
840334,3646
840334,3645
840334,3722
840356,1901
840356,604
840356,708
840356,711
840356,3420
840376,1901
840376,604
840376,708
840376,711
840376,3420
840376,2488
840378,3900
840378,2527
840659,5297
840659,4571
840659,869
840668,539
840668,527
840683,2276
840683,3415
840732,3762
840737,4571
840737,869
840737,5123
840737,3517
840738,5296
840753,480
840753,347
840753,2666
840753,4401
840753,2010
840760,568
840793,3412
840793,1306
840793,2863
840793,3900
840793,2527
840803,212
840803,1306
840803,281
840841,603
840841,1061
840841,2880
840889,1419
840889,1547
840889,2536
840896,1408
840901,3522
840901,1419
840901,1547
840901,2536
840931,1407
840981,3908
840981,1548
840981,4897
840982,3908
840983,3902
840992,1496
840992,1604
841004,3908
841025,1542
841034,1398
841034,3522
841034,1418
841034,2033
841034,1628
841062,3421
841062,728
841062,3244
841062,3720
841071,3370
841071,3272
841071,539
841071,4664
841071,838
841083,1750
841161,3889
841161,2251
841162,1015
841162,3888
841162,1705
841165,1704
841165,895
841166,992
841166,1705
841169,148
841170,153
841170,148
841183,3888
841183,1705
841186,1015
841186,3888
841187,148
841188,153
841188,148
841198,74
841198,1025
841200,74
841200,1025
841201,74
841201,1025
841202,1704
841202,3889
841202,2251
841202,895
841205,992
841206,992
841206,1705
841207,992
841207,1705
841226,3977
841226,992
841226,1705
841410,568
841411,596
841411,575
841411,555
841458,1542
841458,1418
841458,2031
841481,1407
841500,1398
841500,3522
841500,1418
841500,2031
841568,1542
841568,3523
841568,1548
841568,4899
841587,3526
841587,2816
841587,4570
841587,5296
841593,4876
841593,4875
841593,5413
841593,5400
841593,864
841783,3514
841783,508
841783,480
841783,347
841783,2666
841783,4389
841783,4825
841783,2010
841783,4738
841784,2011
841784,4827
841784,4389
841784,2665
841784,348
841784,481
841784,509
841785,2528
841785,2036
841785,353
841785,4284
841785,4286
841785,4291
841785,4301
841785,4276
841785,4275
841787,4747
841787,4460
841787,4114
841787,4457
841787,3410
841791,2341
841791,375
841791,4413
841794,4429
841794,4464
841794,4457
841794,3410
841797,2528
841797,2036
841797,353
841797,4284
841797,4286
841798,812
841798,3861
841798,4458
841798,4115
841798,4709
841798,4481
841798,4678
841798,4461
841798,4746
841800,812
841800,3861
841800,4458
841800,4115
841800,4709
841800,4481
841800,4678
841800,4461
841800,4746
841800,4711
841801,4747
841801,4462
841801,4678
841801,4480
841801,4710
841801,4114
841801,4457
841801,3410
841810,4492
841810,4429
841810,4479
841810,5455
841810,1865
841810,5274
841812,812
841812,3861
841812,4458
841812,4463
841812,4707
841812,4744
841812,4493
841812,4497
841813,4496
841813,4490
841813,4745
841813,4429
841813,4464
841813,4457
841813,3410
841825,153
841825,148
841825,1705
841826,153
841826,148
841826,1705
841828,1015
841828,3888
841828,1705
841830,83
841830,2482
841830,73
841831,74
841831,1025
841832,992
841832,1015
841832,3888
841832,1705
841833,992
841833,1015
841833,3888
841833,1705
841838,1704
841838,895
841841,3977
841841,992
841841,1015
841841,3888
841841,1705
841853,4423
841853,3671
841853,3065
841853,1082
841853,3710
841853,3707
841853,1703
841853,3670
841853,3683
841853,3720
